#Bragalli, D'Ambrosio, Lee, Lodi, Toth (2008)
#PARAMETERS' DEFINITION FOR THE MODENA NETWORK

#Node's parameters: elevation, water demand, minumum pressure, maximum pressure

param: NODE:     elev          demand            pmin           pmax :=
       1         39.493        0.00006           20             35.007
       2         39.625        0.00145           20             34.875
       3         38.703        0.00513           20             35.797
       4         37.246        0.00276           20             37.254
       5         36.265        0.00096           20             38.235
       6         35.955        0.00078           20             38.545
       7         35.955        0.00103           20             38.545
       8         36.087        0.00212           20             38.413
       9         36.179        0.00116           20             36.321
       10        37.003        0.00178           20             37.497
       11        36.5          0.00044           20             38
       12        37.388        0.00003           20             37.112
       13        38.074        0.00057           20             36.426
       14        37.019        0.00036           20             37.481
       15        41.257        0.00330           20             33.243
       16        39.35         0.00003           20             35.15
       17        39.529        0.00210           20             34.971
       18        36.594        0.00467           20             37.906
       19        36.761        0.00000           20             37.739
       20        37.715        0.00153           20             36.785
       21        37.312        0.00461           20             37.188
       22        37.623        0.00106           20             36.877
       23        36.987        0.00132           20             37.513
       24        35.205        0.00274           20             39.295
       25        35.113        0.00059           20             39.387
       26        34.654        0.00045           20             39.846
       27        34.325        0.00064           20             40.175
       28        36.145        0.00711           20             38.355
       29        36.296        0.00093           20             38.204
       30        36.097        0.00004           20             38.403
       31        36.139        0.00002           20             38.361
       32        35.8          0.00293           20             38.7
       33        33.261        0.00234           20             41.239
       34        33.337        0.00194           20             41.163
       35        33.513        0.00119           20             40.987
       36        32.7          0.00141           20             41.8
       37        32.647        0.00298           20             41.853
       38        32.565        0.00211           20             41.935
       39        33.565        0.00774           20             40.935
       40        31.595        0.00429           20             42.905
       41        31.381        0.00778           20             43.119
       42        32.667        0.00375           20             41.833
       43        33.499        0.00237           20             41.001
       44        33.571        0.00142           20             40.929
       45        33.774        0.00032           20             40.726
       46        34.137        0.00114           20             40.363
       47        33.68         0.00123           20             40.82
       48        33.706        0.00137           20             40.794
       49        31.677        0.00118           20             42.823
       50        33.345        0.00181           20             41.155
       51        32.832        0.00097           20             41.668
       52        32.778        0.00055           20             41.722
       53        39.276        0.00277           20             35.224
       54        37.123        0.00065           20             37.377
       55        36.484        0.00138           20             38.016
       56        36.416        0.00828           20             38.084
       57        36.135        0.00122           20             38.365
       58        36.049        0.00385           20             38.451
       59        36.765        0.00262           20             37.735
       60        35.484        0.00278           20             39.016
       61        35.049        0.00156           20             39.451
       62        35.105        0.00116           20             39.395
       63        37.951        0.00122           20             36.549
       64        38.442        0.00293           20             36.058
       65        37.807        0.00113           20             36.693
       66        38.218        0.00112           20             36.282
       67        38.727        0.00048           20             35.773
       68        38.953        0.00137           20             35.547
       69        39.701        0.00226           20             34.799
       70        40.589        0.00131           20             33.911
       71        40.812        0.00106           20             33.688
       72        41.064        0.00038           20             33.436
       73        41.453        0.00176           20             33.047
       74        41.83         0.00056           20             32.67
       75        41.435        0.00000           20             33.065
       76        41.092        0.00464           20             33.408
       77        40.743        0.00103           20             33.757
       78        38.605        0.00308           20             35.895
       79        36.915        0.00160           20             37.585
       80        36.749        0.00449           20             37.751
       81        36.813        0.00125           20             37.687
       82        37.045        0.00087           20             37.455
       83        35.883        0.00072           20             38.617
       84        36.454        0.00049           20             38.046
       85        36.161        0.00392           20             38.339
       86        34.991        0.00094           20             39.509
       87        35.612        0.00333           20             38.888
       88        34.892        0.00417           20             39.608
       89        35.586        0.00144           20             38.914
       90        35.7          0.00184           20             38.8
       91        35.195        0.00200           20             39.305
       92        35.64         0.00224           20             38.86
       93        35.929        0.00020           20             38.571
       94        37.639        0.00227           20             36.861
       95        37.168        0.00144           20             37.332
       96        37.105        0.00267           20             37.395
       97        36.971        0.00060           20             37.529
       98        36.997        0.00276           20             37.503
       99        36.739        0.00005           20             37.761
       100       34.776        0.00206           20             39.724
       101       34.257        0.00319           20             40.243
       102       33.66         0.00469           20             40.84
       103       33.784        0.00170           20             40.716
       104       33.746        0.00002           20             40.754
       105       33.377        0.00010           20             41.123
       106       34.85         0.00111           20             39.65
       107       34.273        0.00102           20             40.227
       108       34.297        0.00088           20             40.203
       109       33.954        0.00233           20             40.546
       110       33.92         0.00031           20             40.58
       111       32.317        0.00045           20             42.183
       112       34.758        0.00296           20             39.742
       113       34.213        0.00812           20             40.287
       114       34.924        0.00176           20             39.576
       115       32.956        0.00596           20             38.544
       116       30.689        0.00000           20             43.811
       117       30.595        0.00634           20             43.905
       118       30.731        0.00000           20             43.769
       119       30.703        0.00000           20             43.797
       120       31.02         0.00303           20             43.48
       121       31.032        0.00185           20             43.468
       122       31.745        0.00177           20             42.755
       123       32            0.00148           20             42.5
       124       32.048        0.00000           20             42.452
       125       32.098        0.00132           20             42.402
       126       33.76         0.00224           20             40.74
       127       32.271        0.00126           20             42.229
       128       31.86         0.00539           20             42.64
       129       32.417        0.00100           20             42.083
       130       33.002        0.00161           20             41.498
       131       33.626        0.00471           20             40.874
       132       36.366        0.00264           20             38.134
       133       35.694        0.00211           20             38.806
       134       35.524        0.00151           20             38.976
       135       35.56         0.00084           20             38.94
       136       35.917        0.00105           20             38.583
       137       35.367        0.00116           20             39.133
       138       35.057        0.00245           20             39.443
       139       34.125        0.00166           20             40.375
       140       39.35         0.00000           20             35.15
       141       39.104        0.00000           20             35.396
       142       39.841        0.00000           20             34.659
       143       39.841        0.00080           20             34.659
       144       39.449        0.00033           20             35.051
       145       39.705        0.00034           20             34.795
       146       37.951        0.00102           20             36.549
       147       37.61         0.00123           20             36.89
       148       37.951        0.00009           20             36.549
       149       35.686        0.00043           20             38.814
       150       35.317        0.00156           20             39.183
       151       35.81         0.00080           20             38.69
       152       35.812        0.00138           20             38.688
       153       36.019        0.00053           20             38.481
       154       38.254        0.00059           20             36.246
       155       37.504        0.00233           20             36.996
       156       37.536        0.00003           20             36.964
       157       37.079        0.00031           20             37.421
       158       36.755        0.00849           20             37.745
       159       35.885        0.00032           20             38.615
       160       35.768        0.00021           20             38.732
       161       34.704        0.00002           20             39.796
       162       35.369        0.00123           20             39.131
       163       34.993        0.00099           20             39.507
